"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"hsa-miR-1306-3p",107.123873333333,98.53199,79.67572,16.227181,17.9713256666667,15.853756,49.841282,53.630894,52.6017983333333,87.5393233333333,83.1248633333333,78.45132,437.054603333333,437.054603333333,21.2756686666667,17.4247566666667,16.90926,15.0098863333333,11.905282,59.645553,51.3011296666667,47.5983536666667,52.1397906666667,40.705439,45.24639,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1306-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1307-3p",0.1,0.1,0.1,0.1,6.05418666666667,4.45819033333333,1.28402466666667,1.817442,1.938018,0.1,2.688859,2.895618,3.91087433333333,3.571929,7.138168,6.10257533333333,2.93229966666667,5.73074466666667,5.567561,0.1,2.77548666666667,2.04461966666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1307-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.785583,0.1,0.875685333333333,0.1,6.532484,7.51314633333333,5.648882,5.51553866666667,0.1,0.1,1.664265,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-130a-3p",360.34751,397.158366666667,338.573176666667,1256.50193333333,1639.07453333333,1639.07453333333,526.979933333333,502.318933333333,511.201633333333,57.6056606666667,65.2039933333333,56.7662876666667,1.40986233333333,9.082843,397.158366666667,416.105786666667,389.680243333333,117.88516,125.052233333333,200.641593333333,188.569993333333,226.95835,82.0109933333333,91.3718966666667,94.24765,437.054603333333,428.1029,482.067033333333,448.22137,448.22137
"hsa-miR-130a-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-130b-3p",555.751,555.751,555.751,482.067033333333,602.2713,540.857333333333,518.842,492.478366666667,502.318933333333,105.875386666667,116.624406666667,105.875386666667,32.1092673333333,37.87051,863.832266666667,916.434133333333,828.4594,502.318933333333,518.842,175.850886666667,173.19294,197.541783333333,724.9859,752.437833333333,777.966733333333,87.5393233333333,79.67572,99.38393,89.4922366666667,86.2314033333333
"hsa-miR-130b-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.438764666666667,0.1,0.1,0.1,0.1,0.1,5.377359,3.964234,1.12846266666667,3.037357,4.432032,0.1,0.1,0.1,6.65771066666667,6.65771066666667,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-132-3p",0.1,0.1,0.1,54.750514,64.65779,64.65779,29.501111,29.3190066666667,31.071918,0.1,0.1,0.1,0.1,0.1,36.9740516666667,36.23203,36.5467053333333,81.17024,86.2314033333333,6.179913,3.06770333333333,5.22136766666667,68.5984233333333,66.27365,68.5984233333333,119.996336666667,116.624406666667,144.087066666667,118.976836666667,123.362543333333
"hsa-miR-132-5p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1321",0.1,0.1,0.1,0.1,0.1,0.1,7.23191166666667,6.910344,5.955819,13.898425,13.2466276666667,14.5892956666667,49.0188543333333,46.461634,0.1,5.43451633333333,6.65771066666667,0.1,0.1,14.4216906666667,13.898425,13.7659233333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-miR-1322",24.2584976666667,23.513658,19.7171436666667,0.1,0.1,0.1,0.214154,0.754588666666667,0.1,15.239167,17.532147,15.239167,119.996336666667,108.362816666667,0.1,0.1,0.1,0.1,0.1,5.567561,5.648882,5.377359,7.63594133333333,7.07070633333333,9.34094766666667,0.1,0.1,0.1,0.1,0.1
